theta_o,Lambert,ON,QON,footnoteQON,fujiiQON,FON,EON,GGX,MRM
-54.9999,0.31831,0.189177,0.196027,0.213659,0.190185,0.19425,0.232854,0.295599,0.0835094
-53.9999,0.31831,0.190062,0.196027,0.213659,0.190855,0.195152,0.234632,0.298129,0.0837792
-52.9999,0.31831,0.190973,0.196027,0.213659,0.191542,0.196075,0.236409,0.300661,0.0841148
-51.9999,0.31831,0.191909,0.196027,0.213659,0.192245,0.19702,0.238184,0.303184,0.0845157
-50.9999,0.31831,0.192871,0.196027,0.213659,0.192964,0.197987,0.239957,0.305684,0.0849816
-49.9999,0.31831,0.193856,0.196027,0.213659,0.193699,0.198974,0.241726,0.308147,0.0855126
-48.9999,0.31831,0.194866,0.196027,0.213659,0.194449,0.199982,0.243492,0.310559,0.0861085
-47.9999,0.31831,0.1959,0.196027,0.213659,0.195215,0.201011,0.245253,0.312907,0.0867695
-46.9999,0.31831,0.196956,0.196027,0.213659,0.195995,0.20206,0.247009,0.315175,0.0874959
-45.9999,0.31831,0.198036,0.196027,0.213659,0.19679,0.203128,0.24876,0.31735,0.0882881
-44.9999,0.31831,0.199138,0.196027,0.213659,0.197599,0.204216,0.250505,0.319418,0.0891466
-43.9999,0.31831,0.199855,0.196027,0.213659,0.198423,0.205324,0.252244,0.321363,0.0900718
-42.9999,0.31831,0.200601,0.196027,0.213659,0.199261,0.20645,0.253976,0.323172,0.0910646
-41.9999,0.31831,0.201376,0.196027,0.213659,0.200113,0.207594,0.255702,0.324831,0.0921258
-40.9999,0.31831,0.202177,0.196027,0.213659,0.200978,0.208757,0.257421,0.326327,0.0932562
-39.9999,0.31831,0.203002,0.196027,0.213659,0.201856,0.209938,0.259132,0.327645,0.0944568
-38.9999,0.31831,0.203849,0.196027,0.213659,0.202747,0.211135,0.260836,0.328775,0.0957287
-37.9999,0.31831,0.204716,0.196027,0.213659,0.203651,0.21235,0.262533,0.329703,0.0970731
-36.9999,0.31831,0.205602,0.196027,0.213659,0.204567,0.213582,0.264223,0.33042,0.0984911
-35.9999,0.31831,0.206505,0.196027,0.213659,0.205496,0.21483,0.265905,0.330915,0.0999841
-34.9999,0.31831,0.207424,0.196027,0.213659,0.206436,0.216094,0.26758,0.33118,0.101553
-33.9999,0.31831,0.208358,0.196027,0.213659,0.207388,0.217373,0.269248,0.331205,0.103201
-32.9999,0.31831,0.209305,0.196027,0.213659,0.208351,0.218668,0.270908,0.330986,0.104927
-31.9999,0.31831,0.210265,0.196027,0.213659,0.209325,0.219977,0.272562,0.330515,0.106734
-30.9999,0.31831,0.211236,0.196027,0.213659,0.21031,0.221301,0.274209,0.329791,0.108624
-29.9999,0.31831,0.212217,0.196027,0.213659,0.211305,0.222638,0.27585,0.328808,0.110597
-28.9999,0.31831,0.213208,0.196027,0.213659,0.212311,0.223989,0.277484,0.327567,0.112656
-27.9999,0.31831,0.214208,0.196027,0.213659,0.213326,0.225354,0.279113,0.326068,0.114802
-26.9999,0.31831,0.215217,0.196027,0.213659,0.21435,0.226731,0.280736,0.324312,0.117037
-25.9999,0.31831,0.216232,0.196027,0.213659,0.215384,0.22812,0.282353,0.322303,0.119363
-24.9999,0.31831,0.217255,0.196027,0.213659,0.216426,0.229521,0.283966,0.320044,0.12178
-23.9999,0.31831,0.218284,0.196027,0.213659,0.217477,0.230934,0.285573,0.317542,0.124291
-22.9999,0.31831,0.219319,0.196027,0.213659,0.218536,0.232358,0.287177,0.314804,0.126897
-21.9999,0.31831,0.220359,0.196027,0.213659,0.219604,0.233792,0.288776,0.311838,0.1296
-20.9999,0.31831,0.221405,0.196027,0.213659,0.220678,0.235236,0.290372,0.308654,0.132401
-19.9999,0.31831,0.222455,0.196027,0.213659,0.22176,0.23669,0.291964,0.305261,0.135301
-18.9999,0.31831,0.22351,0.196027,0.213659,0.222849,0.238154,0.293553,0.301672,0.138301
-17.9999,0.31831,0.224569,0.196027,0.213659,0.223944,0.239626,0.295139,0.297898,0.141402
-16.9999,0.31831,0.225632,0.196027,0.213659,0.225046,0.241106,0.296723,0.293953,0.144605
-15.9999,0.31831,0.2267,0.196027,0.213659,0.226153,0.242595,0.298305,0.28985,0.147911
-14.9999,0.31831,0.227771,0.196027,0.213659,0.227266,0.244091,0.299884,0.285602,0.151319
-13.9999,0.31831,0.228846,0.196027,0.213659,0.228384,0.245594,0.301462,0.281224,0.154831
-12.9999,0.31831,0.229926,0.196027,0.213659,0.229507,0.247103,0.303038,0.276731,0.158445
-11.9999,0.31831,0.231009,0.196027,0.213659,0.230635,0.248619,0.304613,0.272135,0.162162
-10.9999,0.31831,0.232096,0.196027,0.213659,0.231767,0.25014,0.306186,0.267453,0.16598
-9.9999,0.31831,0.233187,0.196027,0.213659,0.232903,0.251667,0.307758,0.262698,0.169898
-8.9999,0.31831,0.234283,0.196027,0.213659,0.234042,0.253198,0.309329,0.257883,0.173915
-7.9999,0.31831,0.235384,0.196027,0.213659,0.235184,0.254733,0.310898,0.253023,0.178028
-6.9999,0.31831,0.236489,0.196027,0.213659,0.236329,0.256272,0.312467,0.248131,0.182235
-5.9999,0.31831,0.237599,0.196027,0.213659,0.237477,0.257815,0.314034,0.243219,0.186533
-4.9999,0.31831,0.238715,0.196027,0.213659,0.238626,0.25936,0.315599,0.2383,0.190917
-3.9999,0.31831,0.239837,0.196027,0.213659,0.239778,0.260908,0.317163,0.233385,0.195385
-2.9999,0.31831,0.240965,0.196027,0.213659,0.240931,0.262457,0.318725,0.228485,0.19993
-1.9999,0.31831,0.242101,0.196027,0.213659,0.242085,0.264008,0.320284,0.223611,0.204548
-0.999901,0.31831,0.243243,0.196027,0.213659,0.243239,0.26556,0.321841,0.218771,0.209232
9.91821e-005,0.31831,0.244394,0.196027,0.213659,0.244394,0.267112,0.323395,0.213975,0.213976
1.0001,0.31831,0.245545,0.197182,0.214814,0.245549,0.268665,0.324946,0.209232,0.218772
